# M1_set	M2
# "M1"	"M2"
# 101
-1	5.96202192408573
-0.91	4.72651482907622
-0.82	2.0184196469252
-0.73	2.50188410992736
-0.64	2.78507833074918
-0.55	2.90557133096937
-0.46	3.44753257933237
-0.37	3.45377191272951
-0.28	1.60988224388103
-0.19	1.06723293655683
-0.1	-0.0829013718125459
-0.01	1.78406686214687
0.0800000000000001	-1.17702966198232
0.17	0.217851391705267
0.26	-2.45340072807392
0.35	-0.484413813037902
0.44	-0.863417615082033
0.53	-0.789141098527654
0.62	-0.549888317627715
0.71	-1.54444808381245
0.8	-1.23809654386697
0.89	-2.71614827756604
0.98	-4.18950098495617
1.07	-3.78029974037632
1.16	-3.0682470226854
1.25	-0.622923999481392
1.34	-3.42503521761912
1.43	-3.37885455866447
1.52	-2.40660570892855
1.61	-3.58223440682956
1.7	-4.3056803268865
1.79	-3.05871647143238
1.88	-4.71147838528139
1.97	-4.26880131675176
2.06	-4.93465487888695
2.15	-2.22812008662529
2.24	-2.9406589877396
2.33	-3.46116148514519
2.42	-7.20342822931109
2.51	-1.87333397177398
2.6	-3.38250203284973
2.69	-4.16386367006352
2.78	-4.11908340958522
2.87	-2.5921134486188
2.96	-4.54479428932117
3.05	-2.93578439104508
3.14	-0.442799225970441
3.23	-1.63851719044307
3.32	-4.32106070701556
3.41	-1.64381187614096
3.5	-2.11362210210879
3.59	-1.53155861074953
3.68	0.0871658566988327
3.77	-0.904151021249222
3.86	-0.578068787304737
3.95	-1.7477702756399
4.04	-0.434607384114521
4.13	-1.50268431195892
4.22	0.747079143203507
4.31	1.05796764811409
4.4	1.33502338308842
4.49	5.45291759529315
4.58	4.38866846204282
4.67	2.23619168293925
4.76	5.39551320767316
4.85	5.45033107728416
4.94	4.90702978198566
5.03	4.73368569675105
5.12	5.59106795307957
5.21	7.51242526916891
5.3	8.69304639221864
5.39	6.8522549809221
5.48	7.45493344111085
5.57	7.62428813460801
5.66	9.2937344865739
5.75	11.1765605596101
5.84	12.8884686817387
5.93	11.5827095311119
6.02	12.3584286208333
6.11	12.0539362831918
6.2	12.8556419612996
6.29	15.3015429777619
6.38	15.0274027538952
6.47	17.6784602755714
6.56	17.3100624211058
6.65	18.5005787572968
6.74	19.3914107122136
6.83	19.2328179139245
6.92	19.6568301391663
7.01	22.4735750035232
7.1	21.4928790958724
7.19	23.2901523552122
7.28	25.3265398263469
7.37	24.2391367289978
7.46	26.7965478078903
7.55	27.8068176505232
7.64	27.3260857029554
7.73	28.5573275530933
7.82	29.7110622380741
7.91	29.3723571157846
8	33.6787405093588
